company_name,world_rank_2022,world_rank_2021,world_rank_2020,local_rank_2022,local_rank_2021,local_rank_2020,founded_year,ipo_year,matched_to,total_equity_2019,total_equity_2020,total_equity_2021,total_equity_2022,total_capitalization_2019,total_capitalization_2020,total_capitalization_2021,total_capitalization_2022,total_liabilities_2019,total_liabilities_2020,total_liabilities_2021,total_liabilities_2022,total_revenue_2019,total_revenue_2020,total_revenue_2021,total_revenue_2022,investing_cashflow_2019,investing_cashflow_2020,investing_cashflow_2021,investing_cashflow_2022,basic_eps_2019,basic_eps_2020,basic_eps_2021,basic_eps_2022,total_assets_2019,total_assets_2020,total_assets_2021,total_assets_2022,net_income_2019,net_income_2020,net_income_2021,net_income_2022,currency,total_articles,num_employees,use_cases,status,industry
BIO-TECHNE CORPORATION,1244.0,1113.0,1782.0,509.0,543.0,631.0,1976.0,,Bio-Techne Corporation,1.165589,1.381192,1.571234,1.701011,1.658249,1.725435,1.900061,1.944421,0.718821,0.646397,0.691723,0.593794,0.714006,0.738691,0.931032,1.105599,-0.336799,0.027095,-0.243516,-0.096851,0.635,1.5,0.905,1.7325,1.88441,2.027589,2.262957,2.294805,0.096072,0.229296,0.14041,0.272051,USD,,3000.0,,FALSE,Healthcare
MASCO CORPORATION,1243.0,1402.0,1135.0,508.0,486.0,442.0,1929.0,,Masco Corporation,-0.056,0.421,0.056,-0.242,2.715,3.213,3.005,2.684,5.083,5.356,5.519,5.429,6.707,7.188,8.375,8.68,0.582,0.531,-0.012,-0.23,3.24,4.6,1.63,3.65,5.027,5.777,5.575,5.187,0.935,1.224,0.41,0.844,USD,,19000.0,,FALSE,Resources&Materials
ROLLINS,1224.0,1132.0,1375.0,506.0,378.0,510.0,1948.0,,"Rollins, Inc.",0.81575,0.94136,1.082048,1.267197,1.09475,1.127172,1.218298,1.307095,0.923642,0.90454,0.897378,0.854831,2.015477,2.16122,2.4243,2.695823,-0.455107,-0.162395,-0.098965,-0.134141,0.413333,0.54,0.72,,1.739392,1.8459,1.979426,2.122028,0.203347,0.260824,0.350687,0.368599,USD,,17515.0,,FALSE,Services&Travel
EASTMAN CHEMICAL COMPANY,1237.0,1367.0,1409.0,507.0,504.0,521.0,1920.0,,Eastman Chemical Company,6.032,6.108,5.788,5.236,11.569,11.292,10.116,9.178,9.976,9.975,9.731,9.431,9.273,8.473,10.476,10.58,-0.48,-0.394,-0.029,0.392,5.52,3.53,6.35,,16.008,16.083,15.519,14.667,0.759,0.478,0.857,0.793,USD,,14500.0,,FALSE,Resources&Materials
CHARLES RIVER LABORATORIES INTERNATIONAL,1223.0,981.0,1981.0,505.0,536.0,681.0,1947.0,2000.0,"Charles River Laboratories International, Inc.",1.666475,2.143668,2.591992,3.023505,3.48425,4.044173,5.198384,5.683824,3.026315,3.347163,4.4323,4.579265,2.621226,2.923933,3.54016,3.97606,-0.681502,-0.601544,-1.437932,-0.607922,5.17,7.35,7.77,,4.69279,5.490831,7.024292,7.60277,0.252019,0.364304,0.390982,0.486226,USD,,20000.0,,FALSE,Healthcare
OMNICOM GROUP,1218.0,1342.0,909.0,504.0,512.0,361.0,1986.0,,Omnicom Group Inc.,3.3737,3.5769,3.7737,4.1593,7.3858,8.8917,8.9559,8.8287,23.4097,24.0703,24.6481,22.8432,14.9537,13.1711,14.2894,14.2891,-0.0309,-0.1361,-0.7092,-0.3809,6.09,4.38,6.57,6.4,26.7834,27.6472,28.4218,27.0025,1.3391,0.9454,1.4078,1.3165,USD,,74200.0,,FALSE,Communication&Entertainment
CONAGRA BRANDS,1217.0,1326.0,954.0,503.0,397.0,376.0,1919.0,,"Conagra Brands, Inc.",7.4637,7.9507,8.6314,8.8622,18.1194,16.8515,16.9066,16.9504,14.7501,14.3533,13.5642,13.5729,9.5384,11.0544,11.1847,11.5359,-5.166,-0.1538,-0.3403,-0.4349,1.53,1.72,2.67,1.85,22.2138,22.304,22.1956,22.4351,0.6783,0.8401,1.2988,0.8882,USD,,18000.0,,FALSE,Food&Restaurants
FACTSET RESEARCH SYSTEMS,1214.0,1455.0,1502.0,502.0,530.0,546.0,1978.0,1996.0,FactSet Research Systems Inc.,0.672256,0.898171,1.016353,1.331408,1.24643,1.472525,1.591045,3.313832,0.876392,1.185217,1.206494,2.682897,1.435351,1.494111,1.591445,1.843892,-0.0561,-0.073632,-0.135992,-2.033675,9.25,9.83,10.56,10.48,1.548648,2.083388,2.222847,4.014305,0.35279,0.372938,0.39959,0.396917,USD,1.0,11896.0,['Research&Consulting'],TRUE,IT&Software
JUUL LABS,1383.0,1383.0,1383.0,541.0,532.0,514.0,2015.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1509.0,,FALSE,Technology&Electronics
W. P. CAREY,1346.0,1420.0,1142.0,531.0,539.0,446.0,1961.0,,W. P. Carey Inc.,6.948173,6.878369,7.583451,9.008644,12.995872,13.572711,14.373401,16.871394,7.112745,7.829267,7.897179,9.093391,1.232766,1.209319,1.331524,1.479086,-0.522773,-0.539932,-1.566727,-1.052531,1.78,2.61,2.25,3.0,14.060918,14.707636,15.48063,18.102035,0.305243,0.455359,0.409988,0.599139,USD,,193.0,,FALSE,Estate
